record_id,phase,property,calculated_value,reference_value,unit,signed_error_calc_minus_ref,absolute_error,relative_error_percent,provenance_level,directly_comparable,comparability_limit,origin_role,assessment,error_formula
AL2CU_LAT_JING2025_CITED_A,Al2Cu,lattice_a,6.16211209391453,6.073,A,0.0891120939145296,0.0891120939145296,1.46734882125028,VERIFIED_SECONDARY_TABULATION,YES_WITH_CAVEAT,secondary-only; original dissertation not independently read; method-mismatched,TABLE_CITED_REFERENCE,ACCEPTABLE_FOR_RELATIVE_TRENDS,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL2CU_LAT_JING2025_CITED_C,Al2Cu,lattice_c,4.97862300082581,4.879,A,0.0996230008258108,0.0996230008258108,2.04187335162555,VERIFIED_SECONDARY_TABULATION,YES_WITH_CAVEAT,secondary-only; original dissertation not independently read; method-mismatched,TABLE_CITED_REFERENCE,ACCEPTABLE_FOR_RELATIVE_TRENDS,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL4CU9_LAT_DFT_JING2025,Al4Cu9,lattice_a,8.94075940441857,8.618,A,0.322759404418569,0.322759404418569,3.74517758666244,VERIFIED_PRIMARY_FULLTEXT,YES_WITH_CAVEAT,method-mismatched: DFT versus Zhou04 EAM/alloy,DIRECT_CALCULATION,SIGNIFICANT_DEVIATION,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL4CU9_LAT_JING2025_CITED,Al4Cu9,lattice_a,8.94075940441857,8.738,A,0.20275940441857,0.20275940441857,2.32043264383806,VERIFIED_SECONDARY_TABULATION,YES_WITH_CAVEAT,secondary-only; original dissertation not independently read; method-mismatched,TABLE_CITED_REFERENCE,SIGNIFICANT_DEVIATION,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL2CU_FORM_DFT_JING2025,Al2Cu,formation_energy,-0.0192269319360238,-0.133,eV/atom,0.113773068063976,0.113773068063976,85.5436601984783,VERIFIED_PRIMARY_FULLTEXT,YES_WITH_CAVEAT,"method-mismatched; absolute formation energy, not energy above hull",DIRECT_CALCULATION,SIGNIFICANT_DEVIATION,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL4CU9_FORM_DFT_JING2025,Al4Cu9,formation_energy,-0.0651013570985653,-0.202,eV/atom,0.136898642901435,0.136898642901435,67.7716053967499,VERIFIED_PRIMARY_FULLTEXT,YES_WITH_CAVEAT,"method-mismatched; absolute formation energy, not energy above hull",DIRECT_CALCULATION,SIGNIFICANT_DEVIATION,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL2CU_FORM_EXP,Al2Cu,formation_energy,-0.0192269319360238,-0.135,eV/atom,0.115773068063976,0.115773068063976,85.7578281955379,VERIFIED_SECONDARY_TABULATION,YES_WITH_CAVEAT,temperature-mismatched; enthalpy-energy caveat; secondary-only,SECONDARY_TABULATION,SIGNIFICANT_DEVIATION,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL2CU_FORM_DFT,Al2Cu,formation_energy,-0.0192269319360238,-0.169,eV/atom,0.149773068063976,0.149773068063976,88.6231171976191,VERIFIED_SECONDARY_TABULATION,YES_WITH_CAVEAT,method-mismatched; secondary-only; absolute formation energy,SECONDARY_TABULATION,SIGNIFICANT_DEVIATION,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL4CU9_FORM_DFT,Al4Cu9,formation_energy,-0.0651013570985653,-0.215,eV/atom,0.149898642901435,0.149898642901435,69.7202990239231,VERIFIED_SECONDARY_TABULATION,YES_WITH_CAVEAT,method-mismatched; secondary-only; original alloy-database record not independently read,SECONDARY_TABULATION,SIGNIFICANT_DEVIATION,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL4CU9_LAT_KWON2014,Al4Cu9,lattice_a,8.94075940441857,8.7068,A,0.23395940441857,0.23395940441857,2.68708830360833,PREVIEW_ONLY,YES_WITH_CAVEAT,temperature unspecified; preview-only,PUBLISHER_PREVIEW,SIGNIFICANT_DEVIATION,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL4CU9_LAT_BINDI2025,Al4Cu9,lattice_a,8.94075940441857,8.7,A,0.24075940441857,0.24075940441857,2.76734947607552,VERIFIED_PRIMARY_FULLTEXT,NO,minor Fe substitution and approximate/natural-material value; not directly comparable,DIRECT_EXPERIMENTAL_MEASUREMENT,NOT_DIRECTLY_COMPARABLE,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
